@relation TestmengeNEU10k-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Standardize-unset-class-temporarily

@attribute y {0,1,2,3,4,5,6,7,8,9}
@attribute ' x1' numeric
@attribute ' x2' numeric
@attribute ' x4' numeric
@attribute ' x5' numeric
@attribute ' x6' numeric
@attribute ' x7' numeric

@data
1,0.525936,-0.235095,-0.544752,-0.320423,-0.274481,-0.708528
8,-0.864911,1.138683,-0.544752,0.495587,0.51262,-0.050481
8,-1.260335,1.346617,-0.005887,0.108142,0.398921,-1.245231
1,0.811997,-1.982139,-1.353049,-0.35189,0.174566,0.987523
8,-1.221308,-0.239269,0.398262,1.230206,0.454648,-1.34595
1,0.832154,-1.316767,-0.410036,-0.481976,0.108394,-0.249405
2,-0.677921,-0.712135,-0.544752,0.644522,-0.644612,-0.248137
4,0.08162,1.55736,-0.410036,1.134094,0.731834,0.798711
9,-0.923238,-1.79893,-1.083617,1.416831,0.09843,0.016293
0,1.512353,-1.794243,2.014856,-0.389277,-1.986004,1.288492
0,1.977255,-1.36854,2.553721,-1.86606,-1.752702,1.7425
3,0.085909,-0.051358,-0.005887,0.329939,-0.238253,-1.493172
8,-1.420307,0.30687,0.532978,1.782387,0.875231,-0.355275
8,-0.866627,0.462834,-0.948901,0.865554,0.299365,-1.304018
6,-1.556689,-1.103059,-0.140603,-1.12387,1.82393,0.22438
1,0.109926,-0.450105,-0.27532,0.759078,-0.251541,-1.269069
5,1.324076,1.002847,-0.140603,-0.230986,0.149409,0.598522
6,-1.170271,-0.599117,0.128829,-1.811894,1.368272,1.040369
2,1.808278,-0.894231,0.263545,1.782425,-0.428889,-0.70461
8,-0.842181,-0.066018,0.667694,1.264408,0.532554,-1.186067
7,0.571397,1.457478,-0.814184,-0.772008,-0.488084,0.001216
6,-0.623453,-0.716654,-0.140603,-2.122633,1.016989,-0.414374
5,0.319647,0.142849,0.532978,-0.291042,-0.13648,0.625305
8,-0.792431,-1.210242,0.937126,0.950448,0.760361,-0.974066
