y, x1, x2, x4, x5, x6, x7
8, 3001, 75.247471, 15, 74.493250, 12.376116, 28.361333
9, 3024, 47.240573, 5, 69.398325, 14.621327, 42.962746
4, 4188, 66.525321, 7, 69.015656, 15.401337, 31.311051
9, 2140, 50.389297, 1, 74.531566, 14.066904, 45.216025
8, 1582, 55.495984, 4, 73.163508, 11.031920, 32.499428
7, 5298, 68.593828, 3, 52.642897, 8.577359, 31.907796
3, 3864, 80.545797, 15, 54.280198, 8.031579, 26.696708
3, 7153, 60.560949, 19, 52.208471, 9.337116, 37.457676
7, 5512, 81.364973, 5, 61.094454, 8.611242, 47.296691
6, 1693, 61.846192, 8, 43.368450, 15.000441, 47.626584
8, 2906, 47.385134, 20, 72.993449, 12.296353, 30.647246
4, 6978, 80.278009, 9, 73.898827, 14.098915, 53.858530
9, 3644, 51.973077, 5, 68.591736, 13.079655, 44.652835
0, 11713, 43.650753, 29, 52.156719, 4.949621, 48.419766
4, 4239, 73.506426, 8, 72.034852, 15.293206, 32.080785
7, 8894, 80.444893, 11, 49.821038, 8.187929, 34.528148
3, 4303, 91.074730, 18, 47.704057, 7.986468, 27.600024
2, 6203, 74.195071, 3, 72.090924, 9.437345, 27.049289
5, 6655, 83.875880, 7, 55.890120, 10.465616, 41.588204
3, 7219, 82.338205, 10, 59.917773, 8.725294, 41.386870
4, 7203, 90.330971, 13, 66.519138, 13.822156, 51.168068
1, 8571, 58.822600, 5, 59.345897, 10.724542, 27.768143
5, 6248, 75.799796, 19, 61.763314, 9.546016, 42.633360
2, 3936, 68.334164, 14, 75.295689, 8.580954, 28.564190
6, 1691, 59.322777, 10, 41.607642, 16.709994, 36.242585
2, 8255, 73.806581, 7, 69.597580, 10.646399, 47.859854
5, 6463, 78.243112, 18, 62.088380, 11.563047, 37.763382
5, 5000, 75.898693, 17, 61.796909, 9.954002, 39.275939
0, 11716, 45.233163, 32, 60.213098, 4.632596, 54.284049
0, 7901, 68.618661, 27, 38.481310, 4.432246, 53.460529
3, 4033, 55.265018, 12, 56.093158, 8.855154, 27.230319
3, 3958, 72.914245, 15, 53.111051, 10.014521, 29.957355
8, 2228, 72.642513, 12, 69.411081, 12.313091, 33.420578
6, 2862, 54.575615, 15, 41.006812, 14.788319, 32.482760
4, 3753, 74.270306, 9, 68.235777, 15.835821, 47.833397
5, 4196, 57.791755, 17, 55.484162, 10.864448, 40.734310
2, 5940, 50.132870, 13, 69.621072, 10.076620, 33.444233
1, 6566, 41.059412, 9, 64.058913, 11.356598, 36.497085
6, 2637, 61.101836, 10, 45.621496, 15.361795, 43.489872
7, 6361, 84.804194, 14, 58.596724, 8.538339, 41.858831
8, 3574, 79.473650, 10, 74.000863, 13.760232, 37.174364
8, 1587, 54.265890, 14, 68.563920, 12.666303, 32.018548
6, 2485, 51.281736, 13, 51.044676, 14.643005, 53.280265
3, 6568, 74.435293, 15, 63.286449, 8.446042, 31.980509
2, 6012, 68.460265, 3, 79.827139, 9.808607, 38.256704
9, 2809, 65.886644, 3, 77.514713, 12.952422, 24.986597
4, 5412, 84.881157, 11, 70.556347, 14.875809, 48.332532
9, 1860, 40.532072, 5, 68.024877, 11.534120, 31.252277
7, 7988, 76.847785, 12, 59.916222, 7.784319, 44.403549
5, 6414, 79.575645, 8, 63.235490, 9.357795, 36.816417
4, 4268, 66.814444, 12, 68.787386, 14.411000, 49.223241
7, 6034, 80.055125, 4, 59.098993, 7.465616, 33.499553
1, 7975, 40.413268, 6, 63.120521, 11.284563, 51.170964
6, 3500, 58.700100, 16, 40.809995, 16.016860, 32.168110
9, 3150, 51.702959, 7, 73.149543, 13.093489, 47.641788
0, 8591, 45.875320, 25, 49.480058, 5.737847, 44.998477
8, 2442, 69.337782, 16, 73.349282, 12.787258, 31.882883
0, 11193, 38.003527, 33, 61.511496, 3.641899, 42.943750
3, 4195, 71.443074, 13, 57.073072, 8.942406, 29.109909
2, 8168, 59.042616, 6, 75.471032, 9.674698, 42.071458
7, 8741, 82.298391, 12, 55.460539, 8.484702, 42.478584
9, 3461, 44.003134, 8, 74.589409, 14.397751, 36.379901
3, 7439, 78.342130, 11, 52.496498, 8.551788, 41.892127
2, 8894, 58.706719, 2, 68.166606, 8.675649, 45.232767
0, 10847, 41.253943, 29, 43.318937, 4.352583, 53.794973
2, 7857, 57.296060, 10, 74.859850, 11.809609, 41.035475
6, 2464, 56.861403, 13, 41.983183, 14.860793, 36.273214
3, 6567, 68.643880, 13, 53.619691, 10.844036, 34.295180
7, 7240, 61.807839, 4, 62.619481, 7.051598, 47.210806
4, 4345, 71.403238, 12, 61.228055, 15.322737, 50.513612
4, 4208, 81.165760, 13, 67.192441, 14.411154, 31.596066
3, 5168, 56.985772, 11, 58.332461, 10.292052, 41.488203
2, 8243, 54.398567, 4, 69.786676, 7.252183, 35.428919
1, 6506, 77.137136, 6, 57.051224, 9.715706, 51.251767
4, 3762, 62.308328, 13, 63.181668, 14.076121, 40.936988
8, 2360, 72.105282, 8, 65.429863, 13.397373, 34.365494
9, 2991, 56.670133, 3, 63.515777, 12.910727, 54.799667
7, 8007, 63.060399, 3, 64.589343, 7.208794, 27.311149
7, 5944, 80.995481, 11, 58.582469, 7.544215, 36.495387
7, 5863, 81.497455, 8, 69.077961, 9.256463, 36.215158
6, 2500, 58.462883, 17, 59.947394, 13.766374, 49.759737
8, 2252, 69.487836, 9, 65.168119, 12.642619, 41.725410
1, 4707, 65.526991, 7, 57.676482, 10.842192, 35.434131
8, 2238, 74.359618, 5, 68.013925, 12.502770, 18.634015
1, 6920, 55.510666, 2, 68.712889, 10.111909, 34.327814
4, 4657, 74.351721, 8, 73.896247, 14.331841, 55.350904
3, 3752, 64.273391, 18, 56.962837, 9.753755, 34.346355
7, 6014, 86.266742, 2, 60.667180, 8.501868, 47.997933
2, 3553, 55.944867, 12, 79.157536, 8.174743, 53.482655
8, 1637, 76.976632, 14, 69.742227, 11.725064, 44.720254
1, 5807, 56.955314, 3, 60.189725, 11.709292, 43.312156
3, 4834, 64.701459, 15, 54.514534, 8.702891, 43.650920
6, 3047, 75.546287, 9, 43.207501, 15.427369, 41.145562
5, 6626, 83.023428, 12, 61.339204, 9.730429, 26.871122
2, 5336, 52.394765, 4, 63.149550, 7.493798, 30.185563
3, 3568, 61.082164, 19, 55.304970, 9.833705, 51.413161
2, 8595, 54.648198, 8, 77.288559, 9.904770, 34.765883
0, 7173, 44.194012, 29, 56.016685, 4.767790, 58.543897
9, 2549, 44.223264, 8, 76.315785, 14.739605, 44.072111
2, 6064, 38.859436, 13, 75.707547, 9.886415, 41.120072
6, 2203, 59.456395, 17, 49.321315, 14.143615, 29.978436
3, 3732, 55.051598, 12, 52.551354, 8.704243, 34.078648
7, 8447, 62.586016, 4, 56.628221, 8.191537, 45.085433
9, 1423, 58.324573, 1, 62.799540, 12.490142, 35.469591
7, 7407, 74.943317, 15, 55.697579, 8.125796, 35.387311
4, 7541, 81.250866, 12, 72.398544, 15.227691, 32.435243
3, 3399, 77.446234, 11, 64.164444, 9.178881, 23.127214
5, 7611, 85.857606, 13, 55.901122, 9.860076, 35.114046
6, 3732, 63.672038, 8, 39.877826, 14.744423, 34.829006
9, 3431, 59.457581, 6, 67.308722, 14.359718, 48.435045
