@relation TrainingsundValidierungsmenge50k-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Standardize

@attribute y {0,1,2,3,4,5,6,7,8,9}
@attribute ' x1' numeric
@attribute ' x2' numeric
@attribute ' x4' numeric
@attribute ' x5' numeric
@attribute ' x6' numeric
@attribute ' x7' numeric

@data
8,-1.02268,0.797174,0.406605,1.33668,0.497961,-1.444609
9,-1.012751,-1.228606,-0.953742,0.847608,1.189438,0.240318
4,-0.510245,0.166288,-0.681673,0.810875,1.429665,-1.104227
9,-1.394379,-1.000854,-1.497881,1.340358,1.018687,0.500335
8,-1.635271,-0.63148,-1.089777,1.209035,0.083977,-0.967095
7,-0.031052,0.315906,-1.225811,-0.760778,-0.671976,-1.035366
3,-0.650118,1.180409,0.406605,-0.60361,-0.840065,-1.636699
3,0.769763,-0.265124,0.950744,-0.802479,-0.437987,-0.394938
7,0.061333,1.239662,-0.953742,0.050503,-0.661541,0.740433
6,-1.587351,-0.17216,-0.545638,-1.65105,1.306197,0.778501
8,-1.063692,-1.21815,1.086778,1.192711,0.473395,-1.180827
4,0.694214,1.16104,-0.409603,1.27962,1.028546,1.497636
9,-0.745093,-0.886297,-0.953742,0.770182,0.714636,0.435346
0,2.738341,-1.488263,2.31109,-0.807447,-1.789242,0.87003
4,-0.488228,0.671241,-0.545638,1.100693,1.396362,-1.015404
7,1.521362,1.173111,-0.137534,-1.031653,-0.791912,-0.732991
3,-0.460599,1.941982,0.814709,-1.234867,-0.853958,-1.532461
2,0.359642,0.721052,-1.225811,1.106076,-0.407118,-1.596013
5,0.554773,1.421279,-0.681673,-0.449071,-0.090433,0.081703
3,0.798255,1.310057,-0.273568,-0.062448,-0.626415,0.05847
4,0.791348,1.888185,0.134536,0.571229,0.94331,1.18717
1,1.381921,-0.390861,-0.953742,-0.117344,-0.010689,-1.513061
5,0.379069,0.837124,0.950744,0.114709,-0.37365,0.202309
2,-0.619035,0.297124,0.27057,1.413707,-0.670869,-1.421201
6,-1.588215,-0.354682,-0.273568,-1.820073,1.832703,-0.535154
2,1.245502,0.692952,-0.681673,0.866735,-0.034755,0.805419
5,0.471886,1.013853,0.814709,0.145912,0.247553,-0.359661
5,-0.1597,0.844278,0.678674,0.117933,-0.247999,-0.18512
0,2.739636,-1.373805,2.719195,-0.0341,-1.886879,1.546738
0,1.092679,0.317702,2.039021,-2.120176,-1.948583,1.451708
3,-0.57716,-0.648186,-0.001499,-0.429581,-0.586421,-1.575123
3,-0.609538,0.628408,0.406605,-0.715839,-0.22936,-1.260437
8,-1.356389,0.608753,-0.001499,0.848832,0.47855,-0.860799
6,-1.082687,-0.698052,0.406605,-1.877748,1.240868,-0.969018
4,-0.698037,0.726494,-0.409603,0.736013,1.563476,0.802366
5,-0.506792,-0.465424,0.678674,-0.488039,0.032399,-0.016832
2,0.246103,-1.019402,0.134536,0.86899,-0.210235,-0.858069
1,0.516351,-1.675698,-0.409603,0.335068,0.183971,-0.505786
6,-1.179821,-0.226001,-0.273568,-1.434776,1.417486,0.301146
7,0.427852,1.488425,0.27057,-0.189258,-0.683993,0.112932
8,-0.775313,1.102859,-0.273568,1.289414,0.924239,-0.427631
8,-1.633112,-0.720454,0.27057,0.767512,0.587332,-1.022586
6,-1.24544,-0.936303,0.134536,-0.914194,1.196114,1.430907
3,0.517215,0.738428,0.406605,0.260917,-0.712419,-1.026975
2,0.277186,0.306245,-1.225811,1.84869,-0.292778,-0.302735
9,-1.105568,0.120092,-1.225811,1.626716,0.675451,-1.834037
4,0.018163,1.493992,-0.137534,0.958769,1.267813,0.859964
9,-1.515256,-1.713841,-0.953742,0.715768,0.238644,-1.111009
7,1.130237,0.912927,-0.001499,-0.062597,-0.916215,0.40658
5,0.450732,1.110237,-0.545638,0.256026,-0.431618,-0.468936
4,-0.475709,0.187201,-0.001499,0.788963,1.124662,0.962747
7,0.286684,1.144918,-1.089777,-0.141045,-1.014369,-0.851685
1,1.124625,-1.722435,-0.817707,0.244989,0.161785,1.187504
6,-0.807259,-0.399722,0.54264,-1.896641,1.619233,-1.005327
